Timestamp,ElapsedSeconds,BytesTransferred,BytesTotal,PercentComplete,JobState
2026-03-06T12:23:10.613,1,0,524288000,0,Connecting
2026-03-06T12:23:11.657,2,18783308,524288000,3.6,Transferring
2026-03-06T12:23:12.713,3.1,31810138,524288000,6.1,Transferring
2026-03-06T12:23:13.753,4.1,42515889,524288000,8.1,Transferring
2026-03-06T12:23:14.807,5.2,56852284,524288000,10.8,Transferring
2026-03-06T12:23:15.840,6.3,69776355,524288000,13.3,Transferring
2026-03-06T12:23:16.864,7.3,83371508,524288000,15.9,Transferring
2026-03-06T12:23:17.877,8.3,106753142,524288000,20.4,Transferring
2026-03-06T12:23:18.903,9.3,134193812,524288000,25.6,Transferring
2026-03-06T12:23:19.930,10.3,134193812,524288000,25.6,Transferring
2026-03-06T12:23:20.955,11.4,163275264,524288000,31.1,Transferring
2026-03-06T12:23:21.983,12.4,190476564,524288000,36.3,Transferring
2026-03-06T12:23:23.012,13.4,239129726,524288000,45.6,Transferring
2026-03-06T12:23:24.040,14.5,239129726,524288000,45.6,Transferring
2026-03-06T12:23:25.058,15.5,268893172,524288000,51.3,Transferring
2026-03-06T12:23:26.081,16.5,300173208,524288000,57.3,Transferring
2026-03-06T12:23:27.096,17.5,332164826,524288000,63.4,Transferring
2026-03-06T12:23:28.141,18.5,364177684,524288000,69.5,Transferring
2026-03-06T12:23:29.182,19.6,364177684,524288000,69.5,Transferring
2026-03-06T12:23:30.228,20.6,394505296,524288000,75.2,Transferring
2026-03-06T12:23:31.278,21.7,412231842,524288000,78.6,Transferring
2026-03-06T12:23:32.297,22.7,426649853,524288000,81.4,Transferring
2026-03-06T12:23:33.321,23.7,438499671,524288000,83.6,Transferring
2026-03-06T12:23:34.352,24.8,458389679,524288000,87.4,Transferring
2026-03-06T12:23:35.368,25.8,482961345,524288000,92.1,Transferring
2026-03-06T12:23:36.392,26.8,510917561,524288000,97.4,Transferring
2026-03-06T12:23:37.412,27.8,524288000,524288000,100,Transferred
