Timestamp,ElapsedSeconds,BytesTransferred,BytesTotal,PercentComplete,JobState
2026-03-06T12:49:07.242,1,1120,524288000,0,Transferring
2026-03-06T12:49:08.266,2.1,2447,524288000,0,Transferring
2026-03-06T12:49:09.285,3.1,6242,524288000,0,Transferring
2026-03-06T12:49:10.300,4.1,15433,524288000,0,Transferring
2026-03-06T12:49:11.325,5.1,37617,524288000,0,Transferring
2026-03-06T12:49:12.354,6.1,82514,524288000,0,Transferring
2026-03-06T12:49:13.372,7.2,172792,524288000,0,Transferring
2026-03-06T12:49:14.390,8.2,350896,524288000,0.1,Transferring
2026-03-06T12:49:15.414,9.2,713115,524288000,0.1,Transferring
2026-03-06T12:49:16.435,10.2,713115,524288000,0.1,Transferring
2026-03-06T12:49:17.468,11.2,1438273,524288000,0.3,Transferring
2026-03-06T12:49:18.497,12.3,2902717,524288000,0.6,Transferring
2026-03-06T12:49:19.517,13.3,5834445,524288000,1.1,Transferring
2026-03-06T12:49:20.528,14.3,11673404,524288000,2.2,Transferring
2026-03-06T12:49:21.546,15.3,22605710,524288000,4.3,Transferring
2026-03-06T12:49:22.566,16.4,42309575,524288000,8.1,Transferring
2026-03-06T12:49:23.596,17.4,66803435,524288000,12.7,Transferring
2026-03-06T12:49:24.616,18.4,66803435,524288000,12.7,Transferring
2026-03-06T12:49:25.631,19.4,117996389,524288000,22.5,Transferring
2026-03-06T12:49:26.651,20.4,145233767,524288000,27.7,Transferring
2026-03-06T12:49:27.666,21.5,174056871,524288000,33.2,Transferring
2026-03-06T12:49:28.688,22.5,174056871,524288000,33.2,Transferring
2026-03-06T12:49:29.748,23.5,205708619,524288000,39.2,Transferring
2026-03-06T12:49:30.789,24.6,234839799,524288000,44.8,Transferring
2026-03-06T12:49:31.855,25.6,234839799,524288000,44.8,Transferring
2026-03-06T12:49:32.902,26.7,260525575,524288000,49.7,Transferring
2026-03-06T12:49:33.928,27.7,260525575,524288000,49.7,Transferring
2026-03-06T12:49:34.941,28.7,286428447,524288000,54.6,Transferring
2026-03-06T12:49:35.968,29.7,286428447,524288000,54.6,Transferring
2026-03-06T12:49:36.985,30.8,329280411,524288000,62.8,Transferring
2026-03-06T12:49:38.008,31.8,351944083,524288000,67.1,Transferring
2026-03-06T12:49:39.028,32.8,377424545,524288000,72,Transferring
2026-03-06T12:49:40.053,33.8,404762355,524288000,77.2,Transferring
2026-03-06T12:49:41.068,34.9,433835245,524288000,82.7,Transferring
2026-03-06T12:49:42.093,35.9,433835245,524288000,82.7,Transferring
2026-03-06T12:49:43.114,36.9,464463851,524288000,88.6,Transferring
2026-03-06T12:49:44.131,37.9,496096277,524288000,94.6,Transferring
2026-03-06T12:49:45.157,38.9,524288000,524288000,100,Transferred
