Timestamp,ElapsedSeconds,BytesTransferred,BytesTotal,PercentComplete,JobState
2026-03-06T13:01:05.527,1,1120,524288000,0,Transferring
2026-03-06T13:01:06.549,2.1,2294,524288000,0,Transferring
2026-03-06T13:01:07.570,3.1,5940,524288000,0,Transferring
2026-03-06T13:01:08.587,4.1,15131,524288000,0,Transferring
2026-03-06T13:01:09.604,5.1,35323,524288000,0,Transferring
2026-03-06T13:01:10.618,6.1,51966,524288000,0,Transferring
2026-03-06T13:01:11.653,7.2,89373,524288000,0,Transferring
2026-03-06T13:01:12.676,8.2,206688,524288000,0,Transferring
2026-03-06T13:01:13.700,9.2,440681,524288000,0.1,Transferring
2026-03-06T13:01:14.719,10.2,783953,524288000,0.1,Transferring
2026-03-06T13:01:15.744,11.3,1741225,524288000,0.3,Transferring
2026-03-06T13:01:16.760,12.3,3628942,524288000,0.7,Transferring
2026-03-06T13:01:17.785,13.3,7176714,524288000,1.4,Transferring
2026-03-06T13:01:18.800,14.3,13761443,524288000,2.6,Transferring
2026-03-06T13:01:19.828,15.3,23100692,524288000,4.4,Transferring
2026-03-06T13:01:20.852,16.4,23100692,524288000,4.4,Transferring
2026-03-06T13:01:21.883,17.4,36454597,524288000,7,Transferring
2026-03-06T13:01:22.917,18.4,48167131,524288000,9.2,Transferring
2026-03-06T13:01:23.943,19.5,75987257,524288000,14.5,Transferring
2026-03-06T13:01:24.972,20.5,75987257,524288000,14.5,Transferring
2026-03-06T13:01:26.006,21.5,93560125,524288000,17.8,Transferring
2026-03-06T13:01:27.073,22.6,112089847,524288000,21.4,Transferring
2026-03-06T13:01:28.099,23.6,148771665,524288000,28.4,Transferring
2026-03-06T13:01:29.115,24.6,167356115,524288000,31.9,Transferring
2026-03-06T13:01:30.138,25.7,186847459,524288000,35.6,Transferring
2026-03-06T13:01:31.166,26.7,206465009,524288000,39.4,Transferring
2026-03-06T13:01:32.186,27.7,227273721,524288000,43.3,Transferring
2026-03-06T13:01:33.210,28.7,227273721,524288000,43.3,Transferring
2026-03-06T13:01:34.231,29.7,247880961,524288000,47.3,Transferring
2026-03-06T13:01:35.260,30.8,267848447,524288000,51.1,Transferring
2026-03-06T13:01:36.273,31.8,305373005,524288000,58.2,Transferring
2026-03-06T13:01:37.299,32.8,324720867,524288000,61.9,Transferring
2026-03-06T13:01:38.322,33.8,324720867,524288000,61.9,Transferring
2026-03-06T13:01:39.343,34.9,344909775,524288000,65.8,Transferring
2026-03-06T13:01:40.362,35.9,361984675,524288000,69,Transferring
2026-03-06T13:01:41.375,36.9,396124861,524288000,75.6,Transferring
2026-03-06T13:01:42.399,37.9,414018307,524288000,79,Transferring
2026-03-06T13:01:43.416,38.9,433349369,524288000,82.7,Transferring
2026-03-06T13:01:44.444,40,433349369,524288000,82.7,Transferring
2026-03-06T13:01:45.469,41,453190679,524288000,86.4,Transferring
2026-03-06T13:01:46.488,42,492180481,524288000,93.9,Transferring
2026-03-06T13:01:47.504,43,511621645,524288000,97.6,Transferring
2026-03-06T13:01:48.531,44,524288000,524288000,100,Transferring
2026-03-06T13:01:49.545,45.1,524288000,524288000,100,Transferred
