Timestamp,ElapsedSeconds,BytesTransferred,BytesTotal,PercentComplete,JobState
2026-03-06T13:14:38.600,1,1120,524288000,0,Transferring
2026-03-06T13:14:39.627,2,1120,524288000,0,Transferring
2026-03-06T13:14:40.652,3.1,2244,524288000,0,Transferring
2026-03-06T13:14:41.673,4.1,5692,524288000,0,Transferring
2026-03-06T13:14:42.697,5.1,14978,524288000,0,Transferring
2026-03-06T13:14:43.720,6.1,35414,524288000,0,Transferring
2026-03-06T13:14:44.734,7.2,79322,524288000,0,Transferring
2026-03-06T13:14:45.758,8.2,167965,524288000,0,Transferring
2026-03-06T13:14:46.779,9.2,346013,524288000,0.1,Transferring
2026-03-06T13:14:47.794,10.2,704112,524288000,0.1,Transferring
2026-03-06T13:14:48.815,11.2,1423866,524288000,0.3,Transferring
2026-03-06T13:14:49.833,12.3,2803868,524288000,0.5,Transferring
2026-03-06T13:14:50.862,13.3,5741025,524288000,1.1,Transferring
2026-03-06T13:14:51.873,14.3,11471149,524288000,2.2,Transferring
2026-03-06T13:14:52.901,15.3,22888933,524288000,4.4,Transferring
2026-03-06T13:14:53.924,16.3,22888933,524288000,4.4,Transferring
2026-03-06T13:14:54.949,17.4,58455282,524288000,11.1,Transferring
2026-03-06T13:14:55.968,18.4,58455282,524288000,11.1,Transferring
2026-03-06T13:14:57.001,19.4,81529054,524288000,15.6,Transferring
2026-03-06T13:14:58.019,20.4,107867090,524288000,20.6,Transferring
2026-03-06T13:14:59.035,21.5,137660666,524288000,26.3,Transferring
2026-03-06T13:15:00.051,22.5,168401120,524288000,32.1,Transferring
2026-03-06T13:15:01.080,23.5,197698736,524288000,37.7,Transferring
2026-03-06T13:15:02.223,24.5,227815628,524288000,43.5,Transferring
2026-03-06T13:15:03.311,25.7,227815628,524288000,43.5,Transferring
2026-03-06T13:15:04.376,26.8,227815628,524288000,43.5,Transferring
2026-03-06T13:15:05.537,27.9,255952842,524288000,48.8,Transferring
2026-03-06T13:15:06.584,29,270762671,524288000,51.6,Transferring
2026-03-06T13:15:07.616,30,283038745,524288000,54,Transferring
2026-03-06T13:15:08.660,31.1,299624067,524288000,57.1,Transferring
2026-03-06T13:15:09.683,32.1,322645733,524288000,61.5,Transferring
2026-03-06T13:15:10.713,33.1,322645733,524288000,61.5,Transferring
2026-03-06T13:15:11.747,34.2,348717950,524288000,66.5,Transferring
2026-03-06T13:15:12.772,35.2,348717950,524288000,66.5,Transferring
2026-03-06T13:15:13.793,36.2,372113702,524288000,71,Transferring
2026-03-06T13:15:14.821,37.2,372113702,524288000,71,Transferring
2026-03-06T13:15:15.845,38.3,393178020,524288000,75,Transferring
2026-03-06T13:15:16.866,39.3,411563222,524288000,78.5,Transferring
2026-03-06T13:15:17.894,40.3,432934978,524288000,82.6,Transferring
2026-03-06T13:15:18.925,41.3,458108306,524288000,87.4,Transferring
2026-03-06T13:15:19.961,42.4,501116207,524288000,95.6,Transferring
2026-03-06T13:15:21.006,43.4,520323157,524288000,99.2,Transferring
2026-03-06T13:15:22.035,44.5,524288000,524288000,100,Transferred
